Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,El Salvador,SLV,6685.708201,10344.8258,12085.9588,11979.6733,11911.5614974884,11978.8533908473,12293.6068691146,12577.7897375628,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Equatorial Guinea,GNQ,243.380047,4048.32908,5927.13969,5766.37061,5840.52221773663,6099.11390788911,..,6374.17105425022,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Eritrea,ERI,3335.2411,4981.2584,4868.8631,4954.7574,4751.093152378,4844.785693043,4912.88017286787,4977.88803281947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Estonia,EST,55787.31741,17768.8082,23503.7062,21871.9123,18815.60914,22767.1259,24378.846055451,23292.7792109021,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ethiopia,ETH,67300.580553,183617.668,189006.75,175266.23,182032.58408693,182771.197854415,184045.876084179,185292.168103158,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Fiji,FJI,2328.8648,1574.6846,2097.6959,2123.9629,2336.07495179159,2163.92228733812,2213.24287418135,2258.17305672094,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Finland,FIN,75555.06141,75117.479,85742.2331,78384.73416,74993.8863442864,84371.5387256094,76124.6255948726,69072.9387223345,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,France,FRA,554685.28,559922.199,540947.1359,544424.0617,527525.776542167,532133.040360555,502656.654982811,499146.634492193,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,French Polynesia,PYF,1014.46011,610.09538,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Gabon,GAB,12276.85768,32923.10176,13080.5403,61809.4079,14325.6426511649,34053.552420328,34324.7623145748,34570.626576672,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Gambia, The",GMB,1189.5885,2864.9869,4029.4209,3350.4432,3012.97665945821,3481.57320442381,3505.92445910053,3529.23152956181,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Georgia,GEO,38220.5924,11554.305612,12884.9934,12282.1374,13250.1200201929,13108.6237650807,14665.8003034717,14627.7492943065,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Germany,DEU,1256074.03,1016295.545,972896.22535,992116.30262,950463.408604366,948006.754235074,929540.263405034,951716.711065489,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ghana,GHA,29495.582968,107699.825,107333.767,124072.65,104912.635467253,106432.692607526,107126.215493213,107784.294435056,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Gibraltar,GIB,159.451771,356.180185,426.49841,..,..,..,459.115654966115,473.005729316361,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Greece,GRC,96659.0445,115225.458,127392.258,117310.663,113365.798767144,107505.979055767,105013.933556742,100571.170745123,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Grenada,GRD,157.901249,474.9675,625.75656,643.730012,645.080683567652,682.65769207226,705.684685472562,726.185419740993,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Guam,GUM,60.1849157,69.55195,78.7497834,80.2123132,81.4806286961758,83.6212456391392,84.7696534428198,85.8694584981447,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Guatemala,GTM,14907.3608,70005.686,34084.597,32857.908,37118.6643315547,30327.54697826,30950.2537441356,31515.4501791152,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Guinea,GIN,65170.672,84360.143,91126.982,135227.869,160212.122008992,100274.039948299,100814.392078924,101348.988273839,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Guinea-Bissau,GNB,1628.8117,6791.4424,6842.4988,5808.0868,5046.75756824414,7536.35781347783,7571.17684486716,7604.73449731623,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Guyana,GUY,16735.4609,4405.2298,4939.3293,5112.8356,25763.6931891269,5937.29421093619,6042.57849427375,6140.68725152308,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Haiti,HTI,5356.9867,7179.0971,8537.2077,8462.3932,8453.14776108017,8545.16780836899,8695.42577952115,8835.46690838767,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Honduras,HND,13722.119,21929.621,19178.5335,19785.857,19877.5557663616,19663.7156155789,20084.1362219677,20467.1629868832,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Hong Kong SAR, China",HKG,37253.7089,45292.8777,49054.4347,51945.7835,52038.7287180895,55049.4029662817,56946.3878595726,58633.5167723061,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Hungary,HUN,97552.24,75482.05879,72331.2477,71578.8505,65812.1371,66250.7743,64385.0040495242,62988.3997990485,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Iceland,ISL,21761.01853,4122.3355,4449.1071,5043.3159,5144.2887106422,5390.98473567479,5530.25743465459,5514.85399229931,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,India,IND,1387371.82,1885189,2382011.76,2438714.28,2594639.91697394,2771456.75614684,2828845.82898461,3002894.92752695,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Indonesia,IDN,1165113.41,622464.65,772946.22,796581.92,1148285.67917462,744790.024070399,763553.164939774,780550.764031458,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Iran, Islamic Rep.",IRN,283712.886,448089.454,650956.813,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Iraq,IRQ,99866.44,124402.47,130078.493,137871.117,138423.769146231,146903.733169242,151457.060059124,155529.505046712,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ireland,IRL,65583.192,68143.29,70033.0319,70132.71958,65613.0705702765,65591.2459838566,61268.1023659476,62433.0138852174,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
